2024-03-23,08:07:11,0,0
2024-03-24,10:19:18,1,49000016741
2024-03-24,10:20:43,2,49000026948
2024-03-24,10:21:32,2,98000220123
2024-03-24,10:22:39,3,49000027015
2024-03-24,10:23:28,3,98000258601
2024-03-24,10:24:17,3,147000430008
2024-03-24,10:26:51,4,49000008630
2024-03-24,10:27:40,4,98000260387
2024-03-24,10:28:29,4,147000496485
2024-03-24,10:29:18,4,196000690633
2024-03-24,10:30:07,4,245000908734
2024-03-24,10:30:56,4,294001153417
2024-03-24,10:31:45,4,343001347217
2024-03-24,10:32:34,4,392001541151
2024-03-24,10:33:23,4,441001743403
2024-03-24,10:34:12,4,490001954814
2024-03-24,10:35:01,4,539002249902
2024-03-24,10:35:50,4,588002512251
2024-03-24,10:36:39,4,637002735885
2024-03-24,10:37:28,4,686003009203
2024-03-24,10:38:17,4,735003227344
2024-03-24,10:39:06,4,784003427723
2024-03-24,10:39:55,4,833003638332
2024-03-24,10:40:44,4,882003825833
2024-03-24,10:41:33,4,931004016998
2024-03-24,10:42:22,4,980004233172
2024-03-24,10:43:11,4,1029004449129
2024-03-24,10:44:00,4,1078004674467
